,,,,,,,,,,Steps,Population,Births,Deaths,Marriages,Laborers,,,Migrants
36,370,0,0,0,159,27,92,78,,1014,396.8333333,64.03333333,36.06666667,20.9,114.5333333,38.1,95.7,97.2
36,370,0,1,1,160,24,93,76,,1020,397.0666667,64.5,36.3,20.96666667,114.2333333,38.16666667,95.7,97.3
36,369,0,2,0,157,25,90,78,,1026,397.0666667,64.73333333,36.5,21.03333333,122.5666667,39.8,95.6,97.66666667
36,371,0,0,0,161,26,92,76,,1032,397.2,65.06666667,36.7,21.06666667,122.3666667,39.8,95.53333333,97.66666667
36,368,0,3,0,159,26,91,75,,1038,397.2,65.36666667,36.96666667,21.1,122.1,39.8,95.5,97.66666667
36,371,0,0,1,161,24,93,76,,1044,397.3,65.8,37.3,21.16666667,121.7,39.8,95.33333333,97.73333333
36,371,0,0,1,160,25,93,77,,1050,397.3333333,66.06666667,37.53333333,21.26666667,121.3333333,39.73333333,95.33333333,97.8
36,370,0,1,0,158,25,92,78,,1056,397.4,66.33333333,37.73333333,21.5,121.1,39.7,95.46666667,97.83333333
36,369,0,2,0,155,25,92,80,,1062,397.4333333,66.63333333,38,21.6,120.7666667,39.66666667,95.46666667,97.86666667
36,370,0,1,0,157,25,92,79,,1068,397.4666667,66.93333333,38.26666667,21.7,120.3333333,39.6,95.43333333,98.03333333
36,370,0,1,1,160,24,92,76,,1074,397.4666667,67.26666667,38.56666667,21.83333333,121.0333333,39.5,95.43333333,98.06666667
36,370,0,1,1,159,25,93,77,,1080,397.6,67.6,38.76666667,21.86666667,120.6,39.46666667,95.36666667,98.26666667
42,371,1,0,0,160,25,92,77,,1086,397.5666667,67.86666667,39.06666667,22.03333333,120.3,39.4,95.4,98.36666667
42,370,0,1,1,160,24,93,76,,1092,397.5,68.2,39.46666667,22.13333333,120,39.36666667,95.33333333,98.33333333
42,370,0,1,0,158,25,92,78,,1098,397.5666667,68.43333333,39.63333333,22.23333333,115.5,39.33333333,95.33333333,98.46666667
42,371,0,0,0,159,25,92,78,,1104,397.6666667,68.8,39.9,22.36666667,115.1666667,39.3,95.43333333,98.53333333
42,372,1,0,1,163,27,93,74,,1110,397.9333333,69.26666667,40.1,22.53333333,114.5666667,39.2,95.53333333,98.9
42,368,0,3,0,157,27,89,77,,1116,398.0333333,69.66666667,40.4,22.83333333,114.3333333,39.2,95.66666667,98.8
42,371,0,0,1,161,25,93,76,,1122,397.8,69.9,40.8,23,113.8,39.1,95.66666667,98.96666667
42,371,1,0,1,158,24,93,79,,1128,397.9333333,70.26666667,41.03333333,23.06666667,113.6,39.03333333,95.66666667,99
42,369,0,1,0,160,26,92,76,,1134,397.8333333,70.53333333,41.36666667,23.16666667,113,39.03333333,95.6,99.3
42,370,0,1,0,157,25,92,79,,1140,397.7666667,70.83333333,41.7,23.16666667,112.6666667,39,95.4,99.36666667
42,369,0,2,0,159,26,92,76,,1146,397.7,71.1,42,23.26666667,112.3666667,39,95.43333333,99.4
42,370,0,1,0,160,25,92,76,,1152,397.8333333,71.43333333,42.2,23.33333333,112.2,38.86666667,95.5,99.5
42,369,1,3,1,158,25,90,76,,1158,397.8,71.73333333,42.53333333,23.4,111.9333333,38.83333333,95.4,99.53333333
42,371,0,0,1,160,24,93,77,,1164,397.6333333,71.96666667,42.93333333,23.46666667,111.4666667,38.76666667,95.16666667,99.7
