HH_ID,Question_I,Frequency,latitude,longitude,x,y,,Question,Frequency_,,House,House,House,House,House,House,,HH_ID,2_2_i,HH_ID,2_2_ii,,,,
113,Fodder,0.166666667,27.9794,108.666,81,39,,8.4i-e,1,,"108,39,57.681","27,58,44.977",108.6660225,27.97916028,81,9,,,,,,,,,
118,Fuelwood,5,27.9773,108.663,80,38,,8.4i-a,30,,"108,39,58.650","27,59,01.113",108.6662917,27.9836425,82,9,,,,,,,,,
118,Mushrooms,0.5,27.9814,108.663,82,38,,8.4i-d,3,,"108,39,58.650","27,59,01.113",108.6662917,27.9836425,82,9,,,,,,,,,
120,Fuelwood,0.5,27.9762,108.668,80,40,,8.4i-a,3,,"108,39,56.046","27,58,47.330",108.6655683,27.97981389,81,9,,,,,,,,,
120,Herbs,2.5,27.9721,108.673,78,41,,8.4i-b,15,,"108,39,56.046","27,58,47.330",108.6655683,27.97981389,81,9,,,,,,,,,
120,Mushrooms,0.166666667,27.9797,108.669,81,40,,8.4i-d,1,,"108,39,56.046","27,58,47.330",108.6655683,27.97981389,81,9,,,,,,,,,
121,Herbs,0.666666667,27.9738,108.669,79,40,,8.4i-b,4,,"108,39,55.561","27,58,47.613",108.6654336,27.9798925,81,9,,,,,,,,,
123,Bamboo,0.166666667,27.9798,108.665,81,39,,8.4i-c,1,,"108,39,55.508","27,58,40.106",108.6654189,27.97780722,80,9,,,,,,,,,
123,Fuelwood,5,27.9789,108.664,81,38,,8.4i-a,30,,"108,39,55.508","27,58,40.106",108.6654189,27.97780722,80,9,,,,,,,,,
123,Fodder,5,27.9805,108.665,82,39,,8.4i-e,30,,"108,39,55.508","27,58,40.106",108.6654189,27.97780722,80,9,,,,,,,,,
128,Fuelwood,5,27.9815,108.663,82,38,,8.4i-a,30,,"108,39,54.257","27,59,01,260",108.6650714,28.33333333,212,8,,,,,,,,,
129,Fuelwood,2.5,27.9748,108.665,79,39,,8.4i-a,15,,"108,39,57.796","27,58,42.900",108.6660544,27.97858333,80,9,,,,,,,,,
129,Herbs,1,27.9124,108.732,57,61,,8.4i-b,6,,"108,39,57.796","27,58,42.900",108.6660544,27.97858333,80,9,,,,,,,,,
129,Bamboo,0.333333333,27.98,108.666,81,39,,8.4i-c,2,,"108,39,57.796","27,58,42.900",108.6660544,27.97858333,80,9,,,,,,,,,
131,Fuelwood,1.666666667,27.9811,108.782,82,78,,8.4i-a,10,,"108,46,57.948","27,58,48.770",108.7827633,27.98021389,81,78,,,,,,,,,
131,Fodder,1.333333333,27.9815,108.783,82,79,,8.4i-e,8,,"108,46,57.948","27,58,48.770",108.7827633,27.98021389,81,78,,,,,,,,,
132,Fuelwood,5,27.9788,108.784,81,79,,8.4i-a,30,,"108,46,57.161","27,58,48.682",108.7825447,27.98018944,81,77,,,,,,,,,
132,Bamboo,0.333333333,27.9813,108.777,82,77,,8.4i-c,2,,"108,46,57.161","27,58,48.682",108.7825447,27.98018944,81,77,,,,,,,,,
134,Fuelwood,2.5,27.9802,108.786,81,80,,8.4i-a,15,,"108,46,56.162","27,58,48.111",108.7822672,27.98003083,81,77,,,,,,,,,
134,Fodder,0.833333333,27.9815,108.784,82,79,,8.4i-e,5,,"108,46,56.162","27,58,48.111",108.7822672,27.98003083,81,77,,,,,,,,,
135,Fuelwood,1.666666667,27.9899,108.788,85,80,,8.4i-a,10,,"108,47,21.289","27,59,16.112",108.7892469,27.98780889,84,81,,,,,,,,,
137,Bamboo,3.333333333,27.9887,108.79,84,81,,8.4i-c,20,,"108,47,23.570","27,59,17.211",108.7898806,27.98811417,84,82,,,,,,,,,
137,Fuelwood,0.666666667,27.9889,108.79,85,81,,8.4i-a,4,,"108,47,23.570","27,59,17.211",108.7898806,27.98811417,84,82,,,,,,,,,
137,Mushrooms,0.5,27.9919,108.792,86,82,,8.4i-d,3,,"108,47,23.570","27,59,17.211",108.7898806,27.98811417,84,82,,,,,,,,,
137,Other,0.166666667,27.9891,108.792,85,82,,8.4i-g,1,,"108,47,23.570","27,59,17.211",108.7898806,27.98811417,84,82,,,,,,,,,
138,Fuelwood,1.666666667,27.9817,108.782,82,78,,8.4i-a,10,,"108,46,56.916","27,58,48.428",108.7824767,27.98011889,81,77,,,,,,,,,
140,Fuelwood,2.5,27.9806,108.787,82,80,,8.4i-a,15,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
141,Fuelwood,5,27.9774,108.779,80,77,,8.4i-a,30,,"108,46,54.937","27,58,49.200",108.7819269,27.98033333,81,77,,,,,,,,,
