with,,maxent,
42,66,71,87
64,66,71,87
65,66,71,87
63,66,71,87
64,66,71,87
64,66,71,87
63,66,71,87
28,66,71,87
27,66,71,87
64,66,71,87
56,66,72,87
47,66,72,87
39,66,72,87
57,66,72,87
57,66,72,87
51,66,72,87
46,66,72,87
35,66,72,87
35,66,72,87
42,66,72,87
50,66,72,87
42,66,72,87
38,66,72,87
47,66,72,87
47,66,72,87
46,66,72,87
46,66,73,87
43,66,73,87
43,66,73,87
47,66,73,87
46,66,73,87
45,66,73,87
45,66,73,87
46,66,73,87
45,66,73,87
50,66,73,87
51,66,73,87
50,66,74,87
50,66,74,87
47,66,74,87
47,66,75,87
50,66,76,87
50,66,48,86
53,66,49,86
53,66,49,86
30,66,49,86
28,66,50,86
27,66,51,86
27,66,51,86
26,66,51,86
27,66,52,86
27,66,52,86
28,66,52,86
30,66,53,86
57,66,53,86
60,66,53,86
60,66,53,86
59,66,53,86
58,66,53,86
58,66,54,86
51,66,54,86
58,66,54,86
59,66,54,86
62,66,54,86
63,66,54,86
26,66,54,86
27,66,54,86
28,66,54,86
28,66,54,86
29,66,54,86
28,66,55,86
28,66,55,86
62,66,55,86
61,66,56,86
63,66,56,86
63,66,56,86
64,66,56,86
64,66,56,86
25,66,56,86
25,66,56,86
25,66,56,86
66,66,56,86
65,66,56,86
65,66,56,86
65,66,57,86
54,66,57,86
63,66,57,86
64,66,57,86
63,66,57,86
55,66,57,86
54,66,57,86
53,66,57,86
53,66,57,86
63,66,57,86
56,66,57,86
48,66,57,86
58,66,57,86
58,66,57,86
58,66,57,86
61,66,57,86
63,66,58,86
47,66,58,86
47,66,58,86
62,66,58,86
39,66,58,86
56,66,58,86
59,66,58,86
50,66,58,86
66,66,58,86
56,66,58,86
41,66,58,86
46,66,58,86
40,66,58,86
51,66,58,86
56,66,58,86
59,66,58,86
60,66,59,86
59,66,59,86
58,66,59,86
58,66,59,86
57,66,59,86
57,66,59,86
57,66,59,86
40,66,59,86
40,66,59,86
41,66,59,86
43,66,59,86
44,66,59,86
44,66,59,86
44,66,59,86
43,66,59,86
40,66,59,86
35,66,60,86
35,66,60,86
46,66,60,86
66,66,60,86
52,66,60,86
54,66,60,86
44,66,60,86
64,66,60,86
47,66,60,86
64,66,60,86
61,66,60,86
47,66,61,86
55,66,61,86
53,66,61,86
45,66,61,86
57,66,61,86
46,66,61,86
49,66,62,86
50,66,62,86
58,66,62,86
51,66,62,86
45,66,62,86
44,66,62,86
55,66,62,86
59,66,62,86
52,66,62,86
57,66,62,86
58,66,62,86
54,66,62,86
63,66,62,86
56,66,62,86
57,66,62,86
58,66,62,86
54,66,63,86
41,66,63,86
61,66,63,86
61,66,63,86
55,66,63,86
61,66,63,86
57,66,63,86
65,66,63,86
59,66,63,86
62,66,63,86
47,66,63,86
48,66,63,86
61,66,63,86
47,66,63,86
66,66,63,86
44,66,63,86
48,66,64,86
56,66,64,86
62,66,64,86
40,66,64,86
40,66,64,86
40,66,64,86
55,66,64,86
59,66,64,86
52,66,64,86
51,66,64,86
59,66,64,86
59,66,64,86
60,66,64,86
62,66,64,86
62,66,64,86
61,66,64,86
61,66,65,86
50,66,65,86
49,66,65,86
47,66,65,86
47,66,65,86
28,66,65,86
28,66,65,86
48,66,65,86
47,66,65,86
28,66,65,86
29,66,65,86
29,66,65,86
28,66,65,86
28,66,65,86
45,66,65,86
47,66,65,86
45,66,66,86
45,66,66,86
27,66,66,86
28,66,66,86
45,66,66,86
44,66,66,86
44,66,66,86
43,66,66,86
44,66,66,86
53,66,66,86
57,66,66,86
58,66,66,86
52,66,66,86
40,66,66,86
56,66,66,86
58,66,66,86
58,66,67,86
59,66,67,86
48,66,67,86
63,66,67,86
54,66,67,86
50,66,67,86
41,66,67,86
52,66,67,86
49,66,67,86
53,66,67,86
58,66,67,86
42,66,67,86
57,66,67,86
50,66,67,86
50,66,67,86
60,66,67,86
51,66,68,86
65,66,68,86
64,66,68,86
62,66,68,86
63,66,68,86
62,66,68,86
65,66,68,86
65,66,68,86
63,66,68,86
62,66,68,86
63,66,68,86
63,66,68,86
64,66,68,86
58,66,68,86
58,66,68,86
58,66,68,86
58,66,69,86
58,66,69,86
59,66,69,86
58,66,69,86
59,66,69,86
59,66,69,86
58,66,69,86
59,66,69,86
55,66,69,86
55,66,69,86
54,66,69,86
54,66,69,86
58,66,69,86
58,66,69,86
63,66,69,86
38,66,69,86
57,66,70,86
48,66,70,86
52,66,70,86
55,66,70,86
47,66,70,86
60,66,70,86
39,66,70,86
60,66,70,86
33,66,70,86
48,66,70,86
41,66,70,86
49,66,70,86
48,66,70,86
